ID SEX AGE WEIGHT
1001 M 17 313.32
1002 M 21 287.49
1003 M 14 329.56
1004 F 22 236.23
1005 M 14 278.46
1006 F 12 264.19
1007 F 19 274.08
1008 F 12 261.11
1009 M 22 254.98
1010 M 15 297.36
1011 F 19 247.37
1012 F 23 324.52
1013 F 24 244.41
1014 M 21 283.03
1015 F 21 295.99
1016 M 19 297.6
1017 F 23 270.95
1018 M 18 282.39
1019 M 13 308.84
1020 M 12 236.31
1021 M 15 256.55
1022 F 22 289.61
1023 M 20 266.66
1024 M 16 321.1
1025 M 22 300.2
1026 M 23 282.17
1027 F 19 234.77
1028 F 13 280.78
1029 M 16 270.51
1030 F 24 276.93
1031 M 13 244.55
1032 F 17 294.96
1033 M 21 248.83
1034 F 21 273.21
1035 F 20 291.44
1036 M 22 256.49
1037 M 18 297.49
1038 M 17 240.5
1039 M 23 195.71
1040 F 14 293.95
1041 M 22 305.22
1042 F 19 271.42
1043 F 22 295.12
1044 M 18 245.32
1045 M 15 276.19
1046 M 19 221.75
1047 M 23 315.44
1048 F 14 335.8
1049 M 19 312.22
1050 M 17 279.18
1051 F 15 279
1052 M 18 234.52
1053 M 21 303.71
1054 M 22 273.68
1055 M 19 260.3
1056 F 15 237.64
1057 F 21 271.01
1058 M 20 254.53
1059 F 17 268.09
1060 M 14 243.47
1061 M 15 330.63
1062 F 20 279.52
1063 F 20 312.25
1064 M 15 201.95
1065 M 15 266.4
1066 F 17 259.74
1067 M 16 243.31
1068 M 12 326.4
1069 M 19 237.54
1070 M 18 289.55
1071 F 23 305.39
1072 M 16 285.35
1073 M 17 253.74
1074 M 14 308.23
1075 M 19 285.12
1076 F 21 248.1
1077 F 16 238.36
1078 M 18 342.6
1079 F 15 259.64
1080 F 23 224.33
1081 F 20 296
1082 F 22 289.31
1083 M 22 239.38
1084 F 14 221.71
1085 F 24 276.51
1086 F 21 314.18
1087 M 18 299.08
1088 M 24 265.21
1089 F 13 254.97
1090 M 20 288.13
1091 F 17 284.72
1092 F 15 298.89
1093 M 17 268.13
1094 F 13 306.98
1095 F 13 255.08
1096 M 19 270.08
1097 M 19 302.22
1098 F 22 309.7
1099 M 16 221.84
1100 M 20 283.22
1101 M 18 298.26
1102 F 14 236.48
1103 F 18 294.42
1104 M 19 255.15
1105 F 22 310.61
1106 F 21 296.15
